"Search Parameters"	"Location Name"	"Latitude"	"Longitude"	"Deaths"
	"PERU:  LIMA, CALLAO"	-12.27	-77.79	78
	"COLOMBIA: BOGOTA, CALI, PEREIRA"	7.75	-77.69	11
	"CHINA:  YUNNAN AND SICHUAN PROVINCES, CHAO-T'UNG"	28.24	104.01	20000
	"JAPAN:  NAKAGI"	34.5	138.7	30
	"PERU:  LIMA, YAUYOS"	-12.3	-76.35	10
	"MEXICO:  VERACRUZ, MEXICO CITY"	18.27	-96.6	600
	"COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO"	10.679	-84.759	26
	"PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN"	13.4	122.8	15
	"MEXICO:  S, FARIAS, TECOMAN"	18.48	-103	56
	"NICARAGUA:  MANAGUA"	12.4	-86.1	10000
	"PAKISTAN:  TANGIR, GUPIS, RAWALPINDI, PESHAWAR"	36	73.4	100
	"AFGHANISTAN:  HINDU KUSH:  SARSANGI, NARIN COUNTIES"	36.2	69.7	11
	"IRAN:  QIR,KARZIN, JAHROM, FIRUZABAD"	28.415	52.765	5374
	"CHILE:  CENTRAL"	-32.5	-71.2	83
	"TURKEY:  BINGOL"	38.8	40.5	1000
	"TURKEY:  BURDUR"	37.6	29.8	100
	"CALIFORNIA:  SAN FERNANDO"	34.412	-118.4	65
	"ITALY:  TUSCANIA"	42.5	11.8	24
	"PERU:  N;  ECUADOR:  S"	-4	-80.7	82
	"PAPUA NEW GUINEA:  MADANG"	-4.907	145.471	15
	"IRAN:  KARNAVEH, MAREV"	37.8	55.9	220
	"PERU: NORTHERN, PISCO, CHICLAYO"	-9.2	-78.8	66794
	"PHILIPPINES:  LUZON"	15.78	121.71	15
	"TURKEY:  GEDIZ"	39.2	29.5	1086
	"INDIA:  BROACH"	21.7	73	26
	"PERU:  PANAO,CHACLLA,QUERO,AYLLAMARCA,LA LINDA"	-9.9	-75.6	12
	"CHINA:  YUNNAN PROVINCE; VIETNAM:  HANOI"	24.1	102.5	10000
	"BALKANS NW:  BOSNIA-HERZEGOVINA:  BANJA LUKA"	44.9	17.3	14
	"PERU:  HUAYTAPALLANA, LAMPA, CHILIFRUTA"	-11.7	-75.1	150
	"SOUTH AFRICA:  CAPE PROVINCE"	-33.268	19.386	12
	"CHINA:  GUANGDONG PROVINCE:  YANGJIANG COUNTY"	22.317	111.8	3000
	"CHINA:  BOHAI SEA"	38.2	119.4	10
	"ETHIOPIA:  SARDO"	11.875	41.208	40
	"TURKEY:  ALASEHIR, SARIGOL, KIRAZ"	38.6	28.4	53
	"PORTUGAL; MOROCCO:  RABAT, SALE; SPAIN:  CANARY IS"	36.017	-10.95	25
	"INDONESIA:  SULAWESI:  PARASANGA, PALETOANG"	-3.1	118.9	64
	"IRAN:  NE KHURASAN PROVINCE"	37.14	57.899	50
	"MEXICO-GUATEMALA:  S CHIAPAS"	15.573	-92.536	20
	"TURKEY:  BARTIN, AMASRA, CAKRAZ"	41.8	32.3	24
	"IRAN:  FERDOW"	34	58.2	700
	"IRAN:  DASHT-E-BAYAZ"	34.158	59.083	10488
	"MEXICO:  OAXACA, GUERRERO"	16.519	-97.739	18
	"PHILIPPINES:  LUZON:  MANILA"	16.5	122.2	270
	"PERU:  SAN MARTIN,MOYOBAMBA,YANTALO,RIOJA,LAMAS"	-5.6	-77.2	15
	"JAPAN:  OFF EAST COAST OF HONSHU ISLAND"	40.8	143.2	52
	"IRAN:  MAKU,SHAH BANDALU,QURTA BOLAGH,QONDEQLI"	39.253	44.203	38
	"GREECE:  AEGEAN SEA:  ST EUSTRATIOS"	39.368	24.957	20
	"ITALY:  SICILY"	37.9	13.1	216
	"INDIA"	17.412	73.885	180
	"ALBANIA"	41.5	20.5	18
	"VENEZUELA"	10.559	-67.33	300
	"COLOMBIA"	6.747	-73.03	20
	"TURKEY:  TUNCELI"	39.5	40.4	97
	"TURKEY:  MUDURNU, ADAPAZARI"	40.7	30.8	86
	"ALGERIA:  NEAR SIG"	35.5	-0.1	10
	"INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA"	5.5	97.3	14
	"INDONESIA:  MAKASSAR STRAIT"	-3.7	119.3	58
	"INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK"	-9.2	113.1	54
	"COLOMBIA:  HUILA, NEIVA, RIVERA,SAN ANTONIO"	2.85	-74.8	98
	"PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS"	-10.748	-78.638	110
	"TURKEY:  VARTO"	39.2	41.6	2394
	"INDIA:  N"	28.7	78.9	15
	"TURKEY:  BAGICI"	38.9	41.3	12
	"TURKEY:  MUS"	38.5	41.3	14
	"NEPAL-INDIA"	29.554	80.854	80
	"UZBEKISTAN:  TASHKENT"	41.2	69.1	10
	"UGANDA: KICHWAMBA, BONDIBOGYO;  TANZANIA;  DR CONGO"	0.622	29.863	157
	"TURKEY:  VARTO, MUS"	39.1	41.6	10
	"EL SALVADOR:  SAN MARCOS"	13.5	-89.3	125
	"GREECE:  SOUTHERN"	37.7	21.8	32
	"CHILE:  CENTRAL"	-32.4	-71.2	400
	"GREECE:  ALONISOS, SKOPELOS"	39.4	24	38
	"IRAN:  NW"	37.684	46.998	20
	"INDONESIA:  SANANA ISLAND"	-2.4	126.1	71
	"TURKEY:  MANYAS, BURSA, BALIKESIR"	40.3	28.2	19
	"MEXICO:  GUERRERO"	18.136	-100.605	78
	"JAPAN:  HONSHU:  W COAST"	38.65	139.2	26
	"ALASKA"	61.017	-147.648	15
	"TAIWAN:  TAINAN"	23.2	120.6	107
	"INDIA:  KASHMIR:  SW"	33.9	74.8	80
	"BALKANS NW:  MACEDONIA:  SKOPJE"	42.1	21.3	1070
	"LIBYA:  BARCE (AL MARJ)"	32.6	21	300
	"TAIWAN:  TAIPEI, HSINCH"	24.5	122.1	15
	"IRAN:   BUYIN-ZARA"	35.63	49.87	12225
	"ITALY:  S"	41.4	15.5	16
	"COLOMBIA:  MISTRATO, MANIZALES"	5.2	-76.4	47
	"IRAN:  MUSSAVIEH"	33.32	58.845	20
	"ALBANIA"	40.9	19.5	15
	"COLOMBIA: EJE CAFETERO"	4.49	-75.51	23
	"JAPAN:  HONSHU:  W COAST"	36	136.7	10
	"IRAN:  DEHKUYEH,KHANEH,LAR,SHAGHEB,NOKHRIZ,BIGHU"	27.861	54.528	60
	"ETHIOPIA:  KARAKORE"	10.466	39.717	160
	"ITALY:  SICILY"	38	15.3	15
	"CONGO:  LAKE TANGANYIKA"	-3.6	29	24
	"ECUADOR"	-1.5	-79	11
	"CHILE:  PUERTO MONTT, VALDIVIA"	-38.143	-73.407	2000
	"IRAN:  LAR"	27.814	54.497	420
	"MOROCCO:  AGADIR"	30.45	-9.62	13100
	"ALGERIA:  MELOUZA"	36	4.1	47
	"PERU:  LIMA,NAZCA,ICA,HUANCAVELIC,PALPA,HUAITARA"	-15	-75	63
	"PERU:  AREQUIPA,CHUQUIBAMBA,CARAVELI,COTAHUASI"	-15.75	-72.75	63
	"TURKEY:  NINIA"	39.1	41.6	18
	"MEXICO:  GULF OF CAMPECHE"	18.3	-94.4	25
	"MONTANA:  HEBGEN LAKE"	44.712	-111.215	28
	"TAIWAN"	22.18	121.13	16
	"IRAN"	36	49	16
	"IRAN:  FIRUZABAD"	34.29	47.867	132
	"COLOMBIA-ECUADOR"	1.5	-79.5	111
	"PERU: AREQUIPA"	-16.5	-72	28
	"IRAN:  FARSINAJ"	34.388	47.748	1200
	"MONGOLIA"	45.5	99.5	30
	"MEXICO:  ACAPULCO,MEXICO CITY"	16.5	-99.1	65
	"IRAN:  HAZANDERAN, ABEGARM"	36.277	52.778	1100
	"TURKEY:  ABANT"	40.7	30.9	500
	"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)"	36.4	28.55	18
	"IRAN:  KACHU MESQAL"	33.4	52.5	16
	"TAIWAN:  HUALIEN, TAIPEI"	23.9	121.6	11
	"TUNISIA:  SIDI ABID,SIDI TOUIL (LA MEDJA),CAILLOUX"	36.2	8.9	13
	"IRAN:  BASTAK"	27.407	54.462	410
	"INDIA:  ANJAR, BHUJ, GANDHIDHAM, KANDLA"	23.278	70.107	156
	"MYANMAR (BURMA)"	22.2	95.7	38
	"GREECE:  DODECANESE"	36.664	25.957	53
	"AFGHANISTAN:  KABUL"	35.1	67.5	100
	"LEBANON:  LITANI"	35.5	35.5	148
	"EGYPT:  NILE DELTA"	32.2	29.6	22
	"COSTA RICA"	10	-84.5	10
	"CHINA:  SICHUAN PROVINCE"	30	101.8	39
	"PHILIPPINES:  MINDANAO:  LANAO,OZAMIZ,COTABATO"	8.1	123.2	400
	"PAKISTAN:  QUETTA"	30.5	67	12
	"ALGERIA:  ORLEANSVILLE"	36.274	1.594	1243
	"PHILIPPINES:  LUZON:  SORSOGON, BACON, LEGASPI"	13	123.9	13
